parameters: 
batch size = 1
shuffle train = False
num workers = 6
epoch = 20
mini batch size = 48
Start training, 2023-07-20 16:39:50.181949
epoch # 1 done, 2023-07-20 16:41:21.218214
val # 1 done, 2023-07-20 16:43:47.980547
epoch # 2 done, 2023-07-20 16:44:44.882471
val # 2 done, 2023-07-20 16:46:42.377499
epoch # 3 done, 2023-07-20 16:47:40.404500
val # 3 done, 2023-07-20 16:49:36.763338
epoch # 4 done, 2023-07-20 16:50:35.791782
val # 4 done, 2023-07-20 16:52:31.457762
epoch # 5 done, 2023-07-20 16:53:28.615073
val # 5 done, 2023-07-20 16:55:24.270486
epoch # 6 done, 2023-07-20 16:56:23.714501
val # 6 done, 2023-07-20 16:58:19.098562
epoch # 7 done, 2023-07-20 16:59:17.918124
val # 7 done, 2023-07-20 17:01:14.794851
epoch # 8 done, 2023-07-20 17:02:13.096123
val # 8 done, 2023-07-20 17:04:08.073966
epoch # 9 done, 2023-07-20 17:05:05.546643
val # 9 done, 2023-07-20 17:07:01.852064
epoch # 10 done, 2023-07-20 17:07:59.319619
val # 10 done, 2023-07-20 17:09:55.639180
epoch # 11 done, 2023-07-20 17:10:53.486023
val # 11 done, 2023-07-20 17:12:48.534305
epoch # 12 done, 2023-07-20 17:13:46.427510
val # 12 done, 2023-07-20 17:15:42.252649
epoch # 13 done, 2023-07-20 17:16:40.035149
val # 13 done, 2023-07-20 17:18:35.255954
epoch # 14 done, 2023-07-20 17:19:33.105978
val # 14 done, 2023-07-20 17:21:30.897428
epoch # 15 done, 2023-07-20 17:22:29.405815
val # 15 done, 2023-07-20 17:24:27.429256
epoch # 16 done, 2023-07-20 17:25:26.930840
val # 16 done, 2023-07-20 17:27:24.492424
epoch # 17 done, 2023-07-20 17:28:22.469246
val # 17 done, 2023-07-20 17:30:17.441088
epoch # 18 done, 2023-07-20 17:31:15.432374
val # 18 done, 2023-07-20 17:33:10.302915
epoch # 19 done, 2023-07-20 17:34:08.537966
val # 19 done, 2023-07-20 17:36:05.362752
epoch # 20 done, 2023-07-20 17:37:02.926873
val # 20 done, 2023-07-20 17:38:58.537234
Finished Training
